Code,Label
"public class Solution {
    public int[] twoSum(int[] nums, int target) {
        int[] resultat=new int[2];
        for(int i=0;i<nums.length;i++){
           for(int j=i+1;j<nums.length;j++){
               if(nums[i]+nums[j]==target){
                   resultat[0]=i;
                   resultat[1]=j;
               }
           }

        }
        return resultat;

    }
}",0
"/**
 * Definition for singly-linked list.
 * public class ListNode {
 *     int val;
 *     ListNode next;
 *     ListNode() {}
 *     ListNode(int val) { this.val = val; }
 *     ListNode(int val, ListNode next) { this.val = val; this.next = next; }
 * }
 */
class Solution {
    public ListNode addTwoNumbers(ListNode l1, ListNode l2) {
        ListNode result = new ListNode();
        ListNode tempNode = result;
        int temp = 0;
        while(l1 != null || l2 != null || temp != 0){
            int sum = ((l1 != null) ? l1.val : 0) + ((l2 != null ) ? l2.val : 0) + temp;
            if(sum > 9){
                sum = sum % 10;
                temp = 1;
            }else{
                temp =0;
            }
            ListNode newNode = new ListNode(sum);
            tempNode.next = newNode;
            tempNode = tempNode.next;
            l1 = ((l1 != null) ? l1.next : l1);
            l2 = ((l2 != null) ? l2.next : l2);
        }
        return result.next;
    }
}",0
" class Solution {
    public boolean isPalindrome(int x) {
        int palindrome = x ; 
        int rev = 0 ; 
        while(palindrome!=0){
            int lastdigit = palindrome%10;
            rev = (rev*10)+lastdigit;
            palindrome = palindrome/10;
        }
        if(x> 0 && x == rev || x==0) {
            return true ;
        }
        return false ;
    }
}",0
"class Solution {
    
    public int romanToInt(String s) {
        Map<String, Integer> romanNums = new HashMap<>();
        romanNums.put( ""I"",1);
        romanNums.put(
            ""V"",5
        );
        romanNums.put(
            ""X"",10
        );
        romanNums.put(
            ""L"",50
        );
        romanNums.put(
            ""C"",100
        );

        romanNums.put(
            ""D"",500
        );
        romanNums.put(
            ""M"",1000
        );
        romanNums.put(""IV"",4);
        romanNums.put(""IX"",9);
        romanNums.put(""XL"",40);
        romanNums.put(""XC"",90);
        romanNums.put(""CD"",400);
        romanNums.put(""CM"",900);



        // get list of index of exception maps
        // such as and keep track it
        // interate over the roman number string.
        // get int from map and add it up, if there meet one of 6 instances
        // get value from exp map.
        int res =0;
        int index = 0;
        while(index < s.length()){
            // check of next symbol
            if (index +1 < s.length()){
                String tempVal = s.subString(index, index+1);
                if(romanNums.containsKey(tempVal)){
                    res += romanNums.get(tempVal); 
                    index += 2;
                    continue;
                }else{
                    res += romanNums.get(s.charAt(index));
                    index += 1;
                }
                
            }else{
                res += romanNums.get(s.charAt(index));
                index += 1;
            }
        }
       
        return res;
    }
}",0
"class Solution {
    public String longestCommonPrefix(String[] strs) {
        Arrays.sort(strs);
        int n = strs.length - 1;
        String s = strs[0];
        String s1 = strs[n];
        int i = 0;
        while (i < s.length() && i < s1.length()) {
            if (s.charAt(i) == s1.charAt(i)) {
                i++;
            } else {
                break;
            }
        }
        return s.substring(0, i);
    }
}",0
"class Solution {
    public boolean isValid(String s) {
    Stack<Character>stack=new Stack<>();
    HashMap<Character,Character>map=new HashMap<>();
    map.put(')','(');map.put(']','[');map.put('}','{');
    for(char c:s.toCharArray()){
        if(map.containsKey(c)){
          if(stack.isEmpty()){
            return false;
          } 
          else{
            if(stack.peek()==map.get(c)){
                stack.pop();
            }
            else{
                stack.push(c);
            }
          }
          continue;
        }
        stack.push(c);

    }
    if(stack.isEmpty()){
        return true;
    }
    return false;
    }
}",0
"/**
 * Definition for singly-linked list.
 * public class ListNode {
 *     int val;
 *     ListNode next;
 *     ListNode() {}
 *     ListNode(int val) { this.val = val; }
 *     ListNode(int val, ListNode next) { this.val = val; this.next = next; }
 * }
 */
class Solution {
    public ListNode mergeTwoLists(ListNode list1, ListNode list2) {
                if(list1!=null && list2!=null){
        if(list1.val<list2.val){
            list1.next=mergeTwoLists(list1.next,list2);
            return list1;
            }
            else{
                list2.next=mergeTwoLists(list1,list2.next);
                return list2;
        }
        }
        if(list1==null)
            return list2;
        return list1;
    }
}",0
"class Solution {
    public int removeDuplicates(int[] nums) {
        int count = 0;
        for(int i=0;i<nums.length; i++){
            if(nums[i] != nums[count]){
                count++;
                nums[count] = nums[i];
                }
            }
        
        return count+1;
    }
    
}",0
"class Solution {
    public int removeElement(int[] nums, int val) {
        int i=0,j=nums.length-1;
        // if( nums.length == 1 && nums[0] == val ) {
        //     return 0;
        // }
        while( i<j ) {
            if ( nums[j] == val ) {
                j--;
            }
            else if ( nums[i] == val ){
                int temp = nums[i];
                nums[i] = nums[j];
                nums[j] = temp;
                i++;
                j--;
            }
            else{
                i++;
            }
        }
        if ( nums.length == 0 || nums[0] == val ) {
            return 0;
        }
        if ( nums[i] == val ) {
            return i;
        }
        return i+1;
    }
}",0
"class Solution {
    public int strStr(String haystack, String needle) {
        int n=haystack.length();
        int m=needle.length();
        int c=0;
        int j=0;
        for(int i=0;i<n;i++) {
            if(haystack.charAt(i)==needle.charAt(j) && j<m) {
                if(j==m-1) {
                    return i-j;
                }
                j++;
                c++;
            }
            else if( haystack.charAt(i)!=needle.charAt(j) ) {
                i=i-j;
                j=0;

            }
        }
        return -1;
    }
}",0
